Sample_ID,Longitude,Latitude,Before Fire,After Fire,Preliminary Studies,Source of Information
001,94.38764954,21.2675209,2021-05-04                            to                2021-06-04,2021-07-14                            to                2021-08-14,"The preliminary study for Sample -001 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2021-06-04 (before fire image) and 2021-07-14 (after fire image). The location of this sample is Kinma village, Pauk Township, Magway Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-kinma-village-pauk-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image.",https://www.facebook.com/rfaburmese/posts/10161774068013128
002,93.428306,22.70451,2021-01-01                            to                2021-02-28,2021-12-01                            to                2021-12-31,"The preliminary study for Sample - 002 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2021-01-13 (before fire image) and 2021-12-29 (after fire image). The location of this sample is Thantlang Town, Chin State. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-thantlang-town-chin-state. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image. ",https://www.facebook.com/thechinjournal2017/posts/3718430261714543
003,94.73713684,21.88640022,2022-01-01                            to                2022-01-30,2022-02-09                            to                2022-03-09,"The preliminary study for Sample -003 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-01-30 (before fire image) and 2022-02-09 (after fire image). The location of this sample is In Ma Htee village, Pale Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-in-ma-htee-village-pale-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image.",https://www.facebook.com/LuduNwayOo/posts/312370050952454
004,95.273063,23.091879,2022-01-09                            to                2022-02-09,2022-02-19                            to                2022-03-19,"The preliminary study for Sample -004 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-02-09 (before fire image) and 2022-02-19 (after fire image). The location of this sample is Kar Paung Kya village, Taze Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-kar-paung-kya-village-taze-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image.",https://www.myanmarwitness.org/_files/ugd/e8f7c0_e84a1f57e1054a32ac7dd984ae6ae67a.pdf
005,94.72136688,21.97357941,2022-01-14                            to                2022-02-14,2022-02-19                            to                2022-03-19,"The preliminary study for Sample -005 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-02-14 (before fire image) and 2022-02-19 (after fire image). The location of this sample is Chaung U village, Pale Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-chaung-u-village-pale-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image.",https://www.facebook.com/khitthitnews/posts/pfbid0HF3poaZBKaFDt8znKjTawGqztGauqushShFFwC9jn5aFdKeHbQtE4UdmMcLwaa3El
006,94.71564,21.96233,2022-01-14                            to                2022-02-14,2022-03-01                            to                2022-03-31,"The preliminary study for Sample - 006 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-02-14 (before fire image) and 2022-03-01 (after fire image). The location of this sample is Zee Phyu Kone village, Pale Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-zee-phyu-kone-village-pale-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image.",https://www.myanmarwitness.org/_files/ugd/e8f7c0_e84a1f57e1054a32ac7dd984ae6ae67a.pdf
007,94.87830353,22.20029068,2022-01-24                            to                2022-02-24,2022-03-01                            to                2022-03-31,"The preliminary study for Sample - 007 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-02-24 (before fire image) and 2022-03-01 (after fire image). The location of this sample is Tha Pyay Aye village, Yinmarbin Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-tha-pyay-aye-village-yinmarbin-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image. The smoke emitted at the northeastern part of the village in ""after fire image"" indicates that it is still on fire at the acquisition time of ""after fire image"" (2022-03-01, Time - 10:52 AM).",https://www.facebook.com/MizzimaDaily/posts/pfbid0eTLBzL4W1tzVhb9MrJimLmwATu312PNBWR2Wn3jDRcfcdid6HGA7xnyaLksf9LRZl
008,95.560112,22.61367035,2022-01-19                            to                2022-02-19,2022-03-01                            to                2022-03-31,"The preliminary study for Sample - 008 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-02-19 (before fire image) and 2022-03-01 (after fire image). The location of this sample is Hna Ma Sar Yit Village, Shwebo Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-hna-ma-sar-yit-village-shwebo-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image. ",https://www.rfa.org/english/news/myanmar/arson-02252022185318.html
009,94.69950867,21.94441032,2022-02-01                            to                2022-03-01,2022-03-21                            to                2022-04-21,"The preliminary study for Sample - 009 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-03-01 (before fire image) and 2022-03-21 (after fire image). The location of this sample is Hnaw Yoe village, Pale Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-hnaw-yoe-village-pale-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image. ",https://www.facebook.com/BBCnewsBurmese/posts/pfbid02bh1YZbDBjdAZ6D47zGDMPJXftFoAM2GBR7SyuM9AKGWkLQa9NrwqzCLKqLk2RdzJl
010,95.82234192,22.20265961,2022-03-01                            to                2022-03-31,2022-04-10                            to                2022-05-10,"The preliminary study for Sample - 010 was conducted using a pair of freely available medium-resolution Sentinel-2 satellite images which were acquired on 2022-03-31 (before fire image) and 2022-04-10 (after fire image). The location of this sample is Ywar Nan village, Wetlet Township, Sagaing Region. The satellite data was processed on Google Earth Engine (GEE) platform. The follwing GEE app was resulted from this study, https://project-bravo.users.earthengine.app/view/burned-area-in-ywar-nan-village-wetlet-township. The resulted GEE app is in the form of swipe map. Open the app (the above-mentioned link) and move the swipe tool (with double arrow) left or right to visualize the changes before and after fire. The burned area can be seen as grey or dark grey color in the ""after fire"" image. ",https://www.rfa.org/burmese/news/ywarnan-village-fireburn-04072022053207.html
